district,disease,category,target_week_monday,predicted_cases_week_total
Ratnagiri,Dysentery,water-borne,2026-03-09,16
Ratnagiri,Hepatitis A,water-borne,2026-03-09,11
Ratnagiri,Measles,air-borne,2026-03-09,1
Sangli,Acute diarrhoeal disease,water-borne,2026-03-09,104
Sangli,Acute gastroenteritis,water-borne,2026-03-09,208
Sangli,Chikungunya,vector-borne,2026-03-09,4
Sangli,Cholera,water-borne,2026-03-09,2
Sangli,Dengue,vector-borne,2026-03-09,25
Sangli,Enteric fever,water-borne,2026-03-09,27
Sangli,Hepatitis A,water-borne,2026-03-09,12
Sangli,Malaria,vector-borne,2026-03-09,19
Sangli,Mumps,air-borne,2026-03-09,2
Sangli,Zika,vector-borne,2026-03-09,0
Satara,Acute diarrhoeal disease,water-borne,2026-03-09,87
Satara,Chikungunya,vector-borne,2026-03-09,1
Satara,Dengue,vector-borne,2026-03-09,69
Satara,Dysentery,water-borne,2026-03-09,62
Satara,Measles,air-borne,2026-03-09,0
Sindhudurg,Acute diarrhoeal disease,water-borne,2026-03-09,70
Sindhudurg,Dengue,vector-borne,2026-03-09,17
Sindhudurg,Hepatitis A,water-borne,2026-03-09,3
Sindhudurg,Hepatitis E,water-borne,2026-03-09,1
Sindhudurg,Kyasanur forest disease,vector-borne,2026-03-09,0
Sindhudurg,Malaria,vector-borne,2026-03-09,17
Sindhudurg,Measles,air-borne,2026-03-09,0
Solapur,Acute diarrhoeal disease,water-borne,2026-03-09,86
Solapur,Acute gastroenteritis,water-borne,2026-03-09,137
Solapur,Cholera,water-borne,2026-03-09,1
Solapur,Dengue,vector-borne,2026-03-09,24
Solapur,Zika,vector-borne,2026-03-09,0
Thane,Acute diarrhoeal disease,water-borne,2026-03-09,128
Thane,Acute gastroenteritis,water-borne,2026-03-09,80
Thane,Chikungunya,vector-borne,2026-03-09,27
Thane,Cholera,water-borne,2026-03-09,3
Thane,Dengue,vector-borne,2026-03-09,15
Thane,Diarrhea,water-borne,2026-03-09,59
Thane,Hepatitis E,water-borne,2026-03-09,2
Thane,Japanese encephalitis,vector-borne,2026-03-09,0
Thane,Jaundice,water-borne,2026-03-09,17
Thane,Malaria,vector-borne,2026-03-09,27
Thane,Measles,air-borne,2026-03-09,3
Wardha,Acute diarrhoeal disease,water-borne,2026-03-09,26
Wardha,Cholera,water-borne,2026-03-09,1
Wardha,Dengue,vector-borne,2026-03-09,28
Wardha,Japanese encephalitis,vector-borne,2026-03-09,0
Wardha,Malaria,vector-borne,2026-03-09,2
Wardha,Measles,air-borne,2026-03-09,1
Washim,Acute gastroenteritis,water-borne,2026-03-09,48
Washim,Chikungunya,vector-borne,2026-03-09,17
Washim,Cholera,water-borne,2026-03-09,6
Washim,Dengue,vector-borne,2026-03-09,13
Washim,Measles,air-borne,2026-03-09,2
Washim,Rubella,air-borne,2026-03-09,0
Yavatmal,Acute diarrhoeal disease,water-borne,2026-03-09,53
Yavatmal,Acute gastroenteritis,water-borne,2026-03-09,127
Yavatmal,Chickenpox,air-borne,2026-03-09,18
Yavatmal,Cholera,water-borne,2026-03-09,0
Yavatmal,Dengue,vector-borne,2026-03-09,25
Yavatmal,Malaria,vector-borne,2026-03-09,10
Yavatmal,Measles,air-borne,2026-03-09,7
